City,Brand,Model,Year,Type,Color,Displacement,HP,Fuel type,Mielage,Transmission,Drivetrain,New,Price
Bakı,Mercedes,C 240,1997,Sedan,Göy,2.6 L,170 a.g.,Benzin,205 000 km,Avtomat,Arxa,Xeyr,11400 AZN
Gəncə,Mercedes,C 180,1999,Sedan,Qara,1.8 L,122 a.g.,Benzin,219 000 km,Avtomat,Arxa,Xeyr,13000 AZN
Bakı,Mercedes,C 200,1990,Sedan,Boz,2.0 L,136 a.g.,Benzin,201 533 km,Mexaniki,Arxa,Xeyr,6300 AZN
Sumqayıt,Mercedes,C 250,2001,Sedan,Gümüşü,2.6 L,160 a.g.,Benzin,200 888 km,Avtomat,Arxa,Xeyr,12500 AZN
Gəncə,Mercedes,C 200,1994,Sedan,Ağ,2.0 L,136 a.g.,Benzin,200 000 km,Avtomat,Tam,Xeyr,7700 AZN
Gəncə,Mercedes,C 180,1996,Sedan,Göy,1.8 L,122 a.g.,Benzin,392 000 km,Mexaniki,Arxa,Xeyr,7900 AZN
Bakı,Mercedes,C 240,1997,Sedan,Mavi,2.4 L,170 a.g.,Benzin,201 000 km,Avtomat,Arxa,Xeyr,10700 AZN
Bakı,Mercedes,C 200,1998,Sedan,Qara,2.0 L,136 a.g.,Benzin,291 000 km,Avtomat,Arxa,Xeyr,12100 AZN
Bakı,Mercedes,C 240,2003,Sedan,Qara,2.6 L,177 a.g.,Benzin,161 000 km,Avtomat,Arxa,Xeyr,10700 AZN
Bakı,Mercedes,C 200,2000,Universal,Göy,2.0 L,136 a.g.,Benzin,275 005 km,Mexaniki,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,280 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 220,1994,Sedan,Qara,2.2 L,146 a.g.,Benzin,499 000 km,Avtomat,Arxa,Xeyr,7700 AZN
Sabirabad,Mercedes,C 200,1995,Sedan,Qara,2.0 L,136 a.g.,Benzin,414 773 km,Avtomat,Arxa,Xeyr,7450 AZN
Gəncə,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,569 870 km,Avtomat,Arxa,Xeyr,11500 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 280,1995,Sedan,Qara,2.8 L,193 a.g.,Benzin,394 000 km,Avtomat,Arxa,Xeyr,6900 AZN
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN
Sabirabad,Mercedes,C 180,1995,Sedan,Qara,1.8 L,122 a.g.,Benzin,287 000 km,Avtomat,Ön,Xeyr,7400 AZN
Bakı,Mercedes,C 200,2000,Universal,Gümüşü,2.0 L,136 a.g.,Benzin,322 000 km,Avtomat,Arxa,Xeyr,13600 AZN
Bakı,Mercedes,C 180,2013,Sedan,Qara,1.8 L,204 a.g.,Benzin,74 000 km,Avtomat,Arxa,Xeyr,22500 $
Bakı,Mercedes,C 180,1996,Sedan,Gümüşü,1.8 L,150 a.g.,Benzin,176 000 km,Mexaniki,Arxa,Xeyr,9200 AZN
Bakı,Mercedes,C 200,1998,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 230,2000,Sedan,Qara,2.3 L,150 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,12300 AZN
Bakı,Mercedes,C 180,1995,Sedan,Göy,1.8 L,122 a.g.,Benzin,278 368 km,Mexaniki,Arxa,Xeyr,8700 AZN
Ağdam,Mercedes,C 180,1995,Sedan,Qara,1.8 L,122 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,8700 AZN
Bakı,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,250 000 km,Avtomat,Arxa,Xeyr,11800 AZN
Bakı,Mercedes,C 240,2000,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,210 000 km,Avtomat,Arxa,Xeyr,14300 AZN
Sumqayıt,Mercedes,C 180,2000,Sedan,Göy,1.8 L,122 a.g.,Benzin,300 000 km,Mexaniki,Arxa,Xeyr,10300 AZN
Bakı,Mercedes,C 180,1998,Universal,Qara,1.8 L,122 a.g.,Benzin,325 162 km,Avtomat,Arxa,Xeyr,9300 AZN
Bakı,Mercedes,C 230,1998,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,290 000 km,Avtomat,Arxa,Xeyr,11900 AZN
Sumqayıt,Mercedes,C 180,1997,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,234 000 km,Avtomat,Arxa,Xeyr,7900 AZN
Bakı,Mercedes,C 200,1996,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,217 800 km,Avtomat,Arxa,Xeyr,9999 AZN
Bakı,Mercedes,C 180,1995,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,470 000 km,Avtomat,Arxa,Xeyr,8800 AZN
Bakı,Mercedes,C 180,1999,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,250 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Xaçmaz,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,268 623 km,Avtomat,Arxa,Xeyr,9800 AZN
Bərdə,Mercedes,C 220,2000,Sedan,Göy,2.2 L,136 a.g.,Dizel,215 455 km,Mexaniki,Arxa,Xeyr,11300 AZN
Salyan,Mercedes,C 180,1996,Sedan,Qırmızı,1.8 L,122 a.g.,Benzin,236 545 km,Mexaniki,Arxa,Xeyr,6700 AZN
Sumqayıt,Mercedes,C 200,1995,Sedan,Göy,2.0 L,146 a.g.,Benzin,402 981 km,Avtomat,Arxa,Xeyr,8200 AZN
Bakı,Mercedes,C 300,2016,Sedan,Qara,2.0 L,245 a.g.,Benzin,46 976 km,Avtomat,Arxa,Xeyr,34900 $
Bakı,Mercedes,C 200,2001,Sedan,Ağ,2.0 L,163 a.g.,Benzin,321 000 km,Mexaniki,Arxa,Xeyr,11500 AZN
Sumqayıt,Mercedes,C 240,1999,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,305 000 km,Avtomat,Arxa,Xeyr,13000 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 280,1995,Sedan,Qara,2.8 L,193 a.g.,Benzin,394 000 km,Avtomat,Arxa,Xeyr,6900 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 250,2014,Sedan,Ağ,1.8 L,204 a.g.,Benzin,55 000 km,Avtomat,Arxa,Xeyr,20800 $
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN
Bakı,Mercedes,C 230,2006,Sedan,Qara,1.8 L,192 a.g.,Benzin,158 000 km,Avtomat,Arxa,Xeyr,15500 AZN
Sumqayıt,Mercedes,C 180,1995,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,450 000 km,Avtomat,Arxa,Xeyr,8200 AZN
Bakı,Mercedes,C 230,1998,Sedan,Qara,2.3 L,150 a.g.,Benzin,311 254 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,290 000 km,Mexaniki,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 180,2000,Sedan,Göy,1.8 L,122 a.g.,Benzin,256 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 180,1996,Sedan,Gümüşü,1.8 L,180 a.g.,Benzin,140 000 km,Mexaniki,Arxa,Xeyr,8600 AZN
Bakı,Mercedes,C 200,1996,Sedan,Boz,2.0 L,136 a.g.,Benzin,479 000 km,Avtomat,Arxa,Xeyr,9500 AZN
Bakı,Mercedes,C 180,1998,Sedan,Göy,1.8 L,122 a.g.,Benzin,310 000 km,Avtomat,Arxa,Xeyr,10800 AZN
Bakı,Mercedes,C 240,2000,Sedan,Göy,2.4 L,177 a.g.,Benzin,310 000 km,Avtomat,Arxa,Xeyr,10500 AZN
Bakı,Mercedes,C 220,2000,Universal,Gümüşü,2.2 L,143 a.g.,Dizel,308 000 km,Avtomat,Arxa,Xeyr,12100 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,234 000 km,Avtomat,Arxa,Xeyr,11600 AZN
Sumqayıt,Mercedes,C 230,1997,Sedan,Ağ,2.3 L,150 a.g.,Benzin,284 000 km,Avtomat,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 200,2001,Sedan,Yaş Asfalt,2.0 L,163 a.g.,Benzin,312 000 km,Avtomat,Arxa,Xeyr,11600 AZN
Bakı,Mercedes,C 240,1998,Sedan,Göy,2.4 L,170 a.g.,Benzin,306 000 km,Avtomat,Arxa,Xeyr,10600 AZN
Bakı,Mercedes,C 230,1997,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,310 000 km,Avtomat,Arxa,Xeyr,9600 AZN
Sumqayıt,Mercedes,C 240,2001,Sedan,Gümüşü,2.4 L,177 a.g.,Benzin,162 059 km,Avtomat,Arxa,Xeyr,12300 AZN
Gəncə,Mercedes,C 240,2000,Sedan,Gümüşü,2.4 L,177 a.g.,Benzin,245 173 km,Avtomat,Arxa,Xeyr,10500 AZN
İmişli,Mercedes,C 230,1999,Sedan,Ağ,2.3 L,150 a.g.,Benzin,247 835 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 200,2001,Sedan,Qara,2.0 L,163 a.g.,Benzin,286 000 km,Avtomat,Arxa,Xeyr,11100 AZN
Xaçmaz,Mercedes,C 180,1998,Universal,Qara,1.8 L,122 a.g.,Benzin,270 649 km,Mexaniki,Arxa,Xeyr,13000 AZN
Bakı,Mercedes,C 220,1995,Sedan,Gümüşü,2.2 L,146 a.g.,Benzin,345 000 km,Avtomat,Arxa,Xeyr,9200 AZN
Saatlı,Mercedes,C 200,1994,Sedan,Boz,2.0 L,136 a.g.,Benzin,355 245 km,Mexaniki,Ön,Xeyr,7350 AZN
Bakı,Mercedes,C 220,1998,Sedan,Yaşıl,2.2 L,143 a.g.,Dizel,324 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Kürdəmir,Mercedes,C 220,1995,Sedan,Gümüşü,2.2 L,143 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,9800 AZN
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN
Bakı,Mercedes,C 180,1995,Sedan,Ağ,1.8 L,122 a.g.,Benzin,456 185 km,Avtomat,Arxa,Xeyr,10200 AZN
Quba,Mercedes,C 220,1997,Sedan,Göy,2.2 L,143 a.g.,Dizel,330 000 km,Mexaniki,Arxa,Xeyr,9200 AZN
Bakı,Mercedes,C 200,1998,Sedan,Ağ,2.0 L,136 a.g.,Benzin,370 000 km,Avtomat,Arxa,Xeyr,12800 AZN
Bakı,Mercedes,C 220,1998,Sedan,Gümüşü,2.2 L,136 a.g.,Dizel,215 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 240,1999,Sedan,Göy,2.4 L,170 a.g.,Benzin,293 000 km,Avtomat,Arxa,Xeyr,10300 AZN
Bakı,Mercedes,C 240,2003,Sedan,Qara,2.4 L,170 a.g.,Benzin,382 128 km,Avtomat,Arxa,Xeyr,12800 AZN
Beyləqan,Mercedes,C 200,2001,Sedan,Gümüşü,2.0 L,177 a.g.,Benzin,267 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 200,2001,Sedan,Ağ,2.0 L,175 a.g.,Benzin,393 000 km,Mexaniki,Arxa,Xeyr,8500 AZN
Sumqayıt,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,177 a.g.,Benzin,217 300 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,250 000 km,Avtomat,Arxa,Xeyr,11800 AZN
Bakı,Mercedes,C 180,1999,Sedan,Göy,1.8 L,122 a.g.,Benzin,263 000 km,Avtomat,Arxa,Xeyr,12000 AZN
Şirvan,Mercedes,C 240,2000,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,326 500 km,Avtomat,Arxa,Xeyr,10900 AZN
Bakı,Mercedes,C 230,2005,Sedan,Ağ,1.8 L,192 a.g.,Benzin,270 000 km,Avtomat,Arxa,Xeyr,13000 AZN
Qax,Mercedes,C 180,1999,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,220 000 km,Mexaniki,Arxa,Xeyr,9800 AZN
İsmayıllı,Mercedes,C 200,2001,Sedan,Yaşıl,2.0 L,165 a.g.,Benzin,361 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 180,1997,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,254 789 km,Mexaniki,Arxa,Xeyr,7300 AZN
Ağsu,Mercedes,C 180,1998,Sedan,Boz,1.8 L,122 a.g.,Benzin,280 000 km,Mexaniki,Arxa,Xeyr,9000 AZN
Bakı,Mercedes,C 180,1997,Sedan,Göy,1.8 L,122 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,8800 AZN
Bakı,Mercedes,C 220,1996,Sedan,Göy,2.2 L,146 a.g.,Benzin,200 000 km,Avtomat,Ön,Xeyr,9500 AZN
Bakı,Mercedes,C 180,1998,Sedan,Qara,1.8 L,122 a.g.,Benzin,362 000 km,Avtomat,Arxa,Xeyr,9700 AZN
Bakı,Mercedes,C 200,1995,Sedan,Qırmızı,2.0 L,136 a.g.,Benzin,394 000 km,Avtomat,Arxa,Xeyr,9500 AZN
Bakı,Mercedes,C 180,2000,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,324 100 km,Avtomat,Arxa,Xeyr,12250 AZN
Bakı,Mercedes,C 200,2000,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,280 000 km,Avtomat,Arxa,Xeyr,10800 AZN
Bakı,Mercedes,C 180,1997,Sedan,Mavi,1.8 L,122 a.g.,Benzin,289 000 km,Avtomat,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 200,2013,Sedan,Qara,1.8 L,150 a.g.,Benzin,30 000 km,Avtomat,Ön,Xeyr,24900 $
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN
Bakı,Mercedes,C 200,2007,Sedan,Gümüşü,1.8 L,184 a.g.,Benzin,179 000 km,Avtomat,Arxa,Xeyr,19800 AZN
Bakı,Mercedes,C 200,1997,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,230 008 km,Avtomat,Arxa,Xeyr,12500 AZN
Goranboy,Mercedes,C 230,1998,Sedan,Ağ,2.3 L,150 a.g.,Benzin,195 656 km,Avtomat,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 220,1996,Sedan,Qara,2.2 L,146 a.g.,Benzin,332 280 km,Avtomat,Arxa,Xeyr,9500 AZN
Bakı,Mercedes,C 180,1996,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,340 000 km,Avtomat,Arxa,Xeyr,8400 AZN
Sumqayıt,Mercedes,C 200,2000,Sedan,Göy,2.0 L,136 a.g.,Benzin,134 096 km,Avtomat,Arxa,Xeyr,10000 AZN
Bakı,Mercedes,C 220,1998,Universal,Gümüşü,2.2 L,143 a.g.,Dizel,256 000 km,Avtomat,Arxa,Xeyr,12600 AZN
Mingəçevir,Mercedes,C 240,1998,Sedan,Göy,2.4 L,170 a.g.,Benzin,233 000 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 200,2000,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,285 000 km,Avtomat,Arxa,Xeyr,12000 AZN
Bakı,Mercedes,C 180,2000,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,12300 AZN
Sumqayıt,Mercedes,C 180,1999,Universal,Yaşıl,1.8 L,122 a.g.,Benzin,358 400 km,Mexaniki,Arxa,Xeyr,10800 AZN
Gəncə,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,177 a.g.,Benzin,296 000 km,Avtomat,Arxa,Xeyr,13000 AZN
Biləsuvar,Mercedes,C 240,1997,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Tam,Xeyr,12000 AZN
Bakı,Mercedes,C 320,2001,Sedan,Qara,3.2 L,170 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,177 a.g.,Benzin,247 150 km,Avtomat,Arxa,Xeyr,12100 AZN
Ağcabədi,Mercedes,C 180,1999,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,270 000 km,Mexaniki,Arxa,Xeyr,11000 AZN
Lənkəran,Mercedes,C 230,1997,Sedan,Qara,2.3 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11700 AZN
Sabirabad,Mercedes,C 230,1999,Sedan,Qızılı,2.3 L,150 a.g.,Benzin,381 000 km,Avtomat,Arxa,Xeyr,10500 AZN
Bakı,Mercedes,C 180,2000,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,280 000 km,Avtomat,Arxa,Xeyr,10500 AZN
Bakı,Mercedes,C 230,1998,Sedan,Ağ,2.3 L,136 a.g.,Benzin,450 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Tovuz,Mercedes,C 180,1994,Sedan,Qara,1.8 L,122 a.g.,Benzin,500 000 km,Mexaniki,Arxa,Xeyr,7000 AZN
Gəncə,Mercedes,C 180,1999,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,225 743 km,Avtomat,Arxa,Xeyr,12200 AZN
Bakı,Mercedes,C 240,1999,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,280 025 km,Avtomat,Arxa,Xeyr,11800 AZN
Qax,Mercedes,C 180,1998,Sedan,Göy,1.8 L,122 a.g.,Benzin,260 052 km,Mexaniki,Ön,Xeyr,12000 AZN
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,156 a.g.,Benzin,59 500 km,Avtomat,Arxa,Xeyr,32700 $
Bakı,Mercedes,C 180,2018,Sedan,Qara,1.6 L,150 a.g.,Benzin,0 km,Avtomat,Arxa,Bəli,50999 $
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN
Bakı,Mercedes,C 220,1998,Sedan,Gümüşü,2.2 L,146 a.g.,Dizel,309 000 km,Avtomat,Arxa,Xeyr,12800 AZN
Bakı,Mercedes,C 240,2001,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,170 000 km,Avtomat,Arxa,Xeyr,12700 AZN
Bakı,Mercedes,C 180,1997,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,270 000 km,Avtomat,Arxa,Xeyr,9200 AZN
Ağcabədi,Mercedes,C 280,2000,Sedan,Qara,2.8 L,170 a.g.,Benzin,215 305 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 220,1995,Sedan,Çəhrayı,2.2 L,143 a.g.,Dizel,365 000 km,Mexaniki,Arxa,Xeyr,7600 AZN
Bakı,Mercedes,C 220,2001,Sedan,Gümüşü,2.2 L,146 a.g.,Dizel,400 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 180,1994,Sedan,Qızılı,1.8 L,122 a.g.,Benzin,358 000 km,Avtomat,Arxa,Xeyr,8200 AZN
İmişli,Mercedes,C 240,2000,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,198 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Sumqayıt,Mercedes,C 220,1999,Sedan,Göy,2.2 L,143 a.g.,Dizel,376 000 km,Mexaniki,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 180,2003,Sedan,Qara,1.8 L,136 a.g.,Benzin,198 000 km,Avtomat,Arxa,Xeyr,11000 AZN
Bakı,Mercedes,C 200,2000,Sedan,Bənövşəyi,2.0 L,150 a.g.,Benzin,318 000 km,Avtomat,Arxa,Xeyr,12400 AZN
Bakı,Mercedes,C 220,1999,Universal,Yaşıl,2.2 L,143 a.g.,Dizel,450 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 180,1999,Universal,Qara,1.8 L,122 a.g.,Benzin,250 000 km,Mexaniki,Arxa,Xeyr,11500 AZN
Bakı,Mercedes,C 240,1997,Sedan,Qara,2.4 L,170 a.g.,Benzin,279 000 km,Avtomat,Arxa,Xeyr,10500 AZN
Bakı,Mercedes,C 280,1997,Sedan,Gümüşü,2.8 L,193 a.g.,Benzin,455 000 km,Avtomat,Arxa,Xeyr,11500 AZN
Gəncə,Mercedes,C 230,1998,Sedan,Qızılı,2.3 L,150 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,12250 AZN
Bakı,Mercedes,C 200,2000,Sedan,Gümüşü,2.0 L,120 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 230,1999,Sedan,Ağ,2.3 L,185 a.g.,Benzin,150 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Bakı,Mercedes,C 220,1999,Sedan,Göy,2.2 L,143 a.g.,Dizel,332 426 km,Avtomat,Arxa,Xeyr,14500 AZN
Bakı,Mercedes,C 200,2005,Sedan,Qara,2.0 L,150 a.g.,Benzin,262 000 km,Avtomat,Arxa,Xeyr,13800 AZN
Bakı,Mercedes,C 200,1998,Universal,Göy,2.0 L,136 a.g.,Benzin,185 000 km,Avtomat,Arxa,Xeyr,11000 AZN
Şirvan,Mercedes,C 250,2009,Sedan,Gümüşü,2.5 L,204 a.g.,Benzin,186 000 km,Avtomat,Ön,Xeyr,27500 AZN
Bakı,Mercedes,C 200,1994,Sedan,Yaşıl,2.0 L,136 a.g.,Benzin,295 000 km,Avtomat,Arxa,Xeyr,9200 AZN
Quba,Mercedes,C 180,1994,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,268 000 km,Avtomat,Arxa,Xeyr,8000 AZN
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $
Bakı,Mercedes,C 250,2014,Sedan,Ağ,1.8 L,204 a.g.,Benzin,55 000 km,Avtomat,Arxa,Xeyr,20800 $
Bakı,Mercedes,C 180,1995,Sedan,Ağ,1.8 L,122 a.g.,Benzin,456 185 km,Avtomat,Arxa,Xeyr,10200 AZN
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN
Sumqayıt,Mercedes,C 180,1998,Sedan,Yaşıl,1.6 L,122 a.g.,Benzin,310 000 km,Avtomat,Arxa,Xeyr,10100 AZN
Göyçay,Mercedes,C 200,1998,Sedan,Boz,2.0 L,136 a.g.,Benzin,250 923 km,Avtomat,Arxa,Xeyr,11300 AZN
Bakı,Mercedes,C 180,1997,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,27 896 km,Mexaniki,Arxa,Xeyr,13500 AZN
Şəki,Mercedes,C 180,1997,Sedan,Qırmızı,1.8 L,122 a.g.,Benzin,342 352 km,Mexaniki,Arxa,Xeyr,8600 AZN
Bakı,Mercedes,C 200,2000,Sedan,Gümüşü,2.0 L,143 a.g.,Benzin,369 000 km,Avtomat,Arxa,Xeyr,10900 AZN
